compound_name,pubchem_id,isomeric_smiles,source,flavor
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,mothball
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,naphthelene
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,honey
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,fecal
indole-3-acetic acid,802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,flavorDB,sour
indole-3-acetic acid,802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,flavorDB,mild
"pentane-1,2,3,4,5-pentol",827,C(C(C(C(CO)O)O)O)O,flavorDB,sweet
6-Deoxyhexopyranose,840,CC1C(C(C(C(O1)O)O)O)O,flavorDB,sweet
fuculose,841,CC(C(C(C(=O)CO)O)O)O,flavorDB,sweet
maltotriose,871,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,flavorDB,sweet
melibiose,872,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,flavorDB,sweet
DL-tartaric acid,875,C(C(C(=O)O)O)(C(=O)O)O,flavorDB,caramellic
DL-tartaric acid,875,C(C(C(=O)O)O)(C(=O)O)O,flavorDB,very mild
Dl-Methionine,876,CSCCC(C(=O)O)N,flavorDB,acidic
Dl-Methionine,876,CSCCC(C(=O)O)N,flavorDB,sulfurous
Dl-Methionine,876,CSCCC(C(=O)O)N,flavorDB,mild
methanethiol,878,CS,flavorDB,sulfur
methanethiol,878,CS,flavorDB,garlic
methanethiol,878,CS,flavorDB,gasoline
methanethiol,878,CS,flavorDB,decomposing cabbage
methylglyoxal,880,CC(=O)C=O,flavorDB,brown
methylglyoxal,880,CC(=O)C=O,flavorDB,ethereal
methylglyoxal,880,CC(=O)C=O,flavorDB,acidic
methylglyoxal,880,CC(=O)C=O,flavorDB,sweet
methylglyoxal,880,CC(=O)C=O,flavorDB,rum
methanol,887,CO,flavorDB,alcoholic
naphthalene,931,C1=CC=C2C=CC=CC2=C1,flavorDB,dry
naphthalene,931,C1=CC=C2C=CC=CC2=C1,flavorDB,pungent
naphthalene,931,C1=CC=C2C=CC=CC2=C1,flavorDB,tarry
naphthalene,931,C1=CC=C2C=CC=CC2=C1,flavorDB,tar
naringenin,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,flavorDB,bitter
nicotinamide,936,C1=CC(=CN=C1)C(=O)N,flavorDB,bitter
1-octanol,957,CCCCCCCCO,flavorDB,burnt
1-octanol,957,CCCCCCCCO,flavorDB,orange
1-octanol,957,CCCCCCCCO,flavorDB,rose
1-octanol,957,CCCCCCCCO,flavorDB,waxy
1-octanol,957,CCCCCCCCO,flavorDB,chemical
1-octanol,957,CCCCCCCCO,flavorDB,metal
1-octanol,957,CCCCCCCCO,flavorDB,aldehydic
1-octanol,957,CCCCCCCCO,flavorDB,mushroom
1-octanol,957,CCCCCCCCO,flavorDB,green
3-Hydroxypyruvic acid,964,C(C(=O)C(=O)O)O,flavorDB,sour
3-Hydroxypyruvic acid,964,C(C(=O)C(=O)O)O,flavorDB,cabbage
3-Hydroxypyruvic acid,964,C(C(=O)C(=O)O)O,flavorDB,radish
hexadecanal,984,CCCCCCCCCCCCCCCC=O,flavorDB,cardboard
